id,entity_id,entity_name,entity_color,location_id,location_name,function_id,function_name,asset_id,asset_name,asset_type,asset_color,usecase_id,use_case,rule_id,rule_name,seim_id,severity,events,starttime,endtime,magnitude,criticality,criticality_color,description,itsm_id,status,priority,group,service_category,soar_id,ticket_id,created_time,Suspicious,assets,assigned_time,due_by_time,first_response_due_by_time,impact,is_first_response_overdue,is_overdue,replys,resolution,site,urgency,subject,last_updated_datetime,target
1644832,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_IFX,GRC_FT_FW_IFX,Fortinet fgt240D2,,7,Reconocimiento y/o Vulnerabilidades,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",225500,3,1,2022-06-09 10:26:24.000 +0530,2022-06-09 10:26:24.000 +0530,1,Low,#25ba3c,Traffic timeout,1644832,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2176507,225500,2022-06-09 10:34:00+05:30,true,,2022-06-09 11:16:00.000 +0530,,2022-06-09 12:34:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,"GR CHIA: X-FORCE RISK IP, SPAM(DESTINATION IP)",,172.201.2.1
1644860,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_MERCANET,GRC_FT_FW_MERCANET,Fortinet fgt240D2,,7,Reconocimiento y/o Vulnerabilidades,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",225512,2,1,2022-06-09 10:59:27.000 +0530,2022-06-09 10:59:27.000 +0530,1,Low,#25ba3c,Ip-conn,1644860,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2176523,225512,2022-06-09 11:06:00+05:30,true,,2022-06-09 13:28:00.000 +0530,,2022-06-09 13:06:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,"GR CHIA: X-FORCE RISK IP, SPAM(DESTINATION IP)",,172.201.2.1
1646100,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_MERCANET,GRC_FT_FW_MERCANET,Fortinet fgt240D2,,7,Reconocimiento y/o Vulnerabilidades,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",226112,3,1,2022-06-11 21:36:09.000 +0530,2022-06-11 21:36:09.000 +0530,1,Low,#25ba3c,Traffic timeout,1646100,Closed,4. Baja,Security_Outsourcing,SERVICIO DE CORRELACI�??N DE EVENTOS,2177427,226112,2022-06-11 21:38:00+05:30,true,,2022-06-11 22:16:00.000 +0530,,2022-06-11 23:38:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroaimntaci�??n el mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo",GR CHIA SAS,4. Baja,"GR CHIA: X-FORCE RISK IP, SPAM(DESTINATION IP)",,172.201.2.1
1639641,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_Distribuidas,GRC_FT_FW_Distribuidas,Fortinet Device,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223421,3,1,2022-06-01 10:48:04.000 +0530,2022-06-01 10:48:04.000 +0530,1,Low,#25ba3c,Traffic timeout,1639641,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2173946,223421,2022-06-01 10:55:00+05:30,true,,2022-06-01 10:59:00.000 +0530,,2022-06-01 12:55:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,
1639677,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_IFX,GRC_FT_FW_IFX,Fortinet fgt240D2,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223438,0,11,2022-06-01 00:19:08.000 +0530,2022-06-01 13:04:18.000 +0530,0,Low,#25ba3c,Firewall Permit,1639677,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2173970,223438,2022-06-01 12:26:00+05:30,true,,2022-06-01 12:28:00.000 +0530,,2022-06-01 14:26:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,172.201.2.1
1639694,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_IFX,GRC_FT_FW_IFX,Fortinet fgt240D2,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223438,0,11,2022-06-01 00:19:08.000 +0530,2022-06-01 13:04:18.000 +0530,0,Low,#25ba3c,Firewall Permit,1639694,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2173980,223438,2022-06-01 13:12:00+05:30,true,,2022-06-01 13:13:00.000 +0530,,2022-06-01 15:12:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,172.201.2.1
1640070,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_Distribuidas,GRC_FT_FW_Distribuidas,Fortinet fgt240D2,,,,2,GR Chia: Possible Local Worm Detected (URGENTE: LLAMAR CLIENTE),223628,7,1584,2022-06-02 07:23:45.000 +0530,2022-06-02 08:49:00.000 +0530,3,Medium,#f0ae0c,Possible Local Worm Detected,1640070,Closed,3. Media,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2174121,223628,2022-06-02 08:40:00+05:30,false,,2022-06-02 09:09:00.000 +0530,,2022-06-02 09:40:00+05:30,3. Media,false,false,,"?Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,3. Media,GR CHIA: POSSIBLE LOCAL WORM DETECTED (URGENTE: LLAMAR CLIENTE),,172.201.2.1
1640071,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_Distribuidas,GRC_FT_FW_Distribuidas,Fortinet Device,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223630,0,1,2022-06-02 07:36:35.000 +0530,2022-06-02 07:36:35.000 +0530,0,Low,#25ba3c,Firewall Permit,1640071,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2174122,223630,2022-06-02 08:40:00+05:30,true,,2022-06-02 13:23:00.000 +0530,,2022-06-02 10:40:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso, se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,20.20.20.1
1640072,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_IFX,GRC_FT_FW_IFX,Fortinet fgt240D2,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223631,0,1,2022-06-02 07:36:39.000 +0530,2022-06-02 07:36:39.000 +0530,0,Low,#25ba3c,Firewall Permit,1640072,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2174123,223631,2022-06-02 08:40:00+05:30,true,,2022-06-02 13:22:00.000 +0530,,2022-06-02 10:40:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso,se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,172.201.2.1
1640074,2,GR Chia,,1,Bogota,1,undefined,GRC_FT_FW_IFX,GRC_FT_FW_IFX,Fortinet fgt240D,,,,3,"GR Chia: X-Force Risk IP, Spam(Destination IP)",223632,0,1,2022-06-02 07:37:17.000 +0530,2022-06-02 07:37:17.000 +0530,0,Low,#25ba3c,Firewall Permit,1640074,Closed,4. Baja,Security Analyst Level 1,SERVICIO DE CORRELACI�??N DE EVENTOS,2174124,223632,2022-06-02 08:44:00+05:30,true,,2022-06-02 13:22:00.000 +0530,,2022-06-02 10:44:00+05:30,4. Baja,false,false,,"Se notifica la alerta a los contactos correspondientes y se queda a la espera de la retroalimentaci�??n del mismo. Despu??s de 7 d??as sin respuesta del caso,se proceder?? con el cierre del mismo.",GR CHIA SAS,4. Baja,GR CHIA: X-FORCE: MAIL SERVER SENDING MAIL TO SERVERS CATEGORIZED AS SPAM,,172.201.1.1
