"id","offense_source","rule_name","seim_id","description","last_updated_datetime","start_datetime","destination_networks","policy_category_count","category_count","inactive","flow_count","follow_up","close_time","severity","credibility","closing_reason_id","device_count","domain_id","username_count","protected","relevance","source_network","status","source_count","rules","assigned_to","offense_type","security_category_count","remote_destination_count","categories","event_count","local_destination_count","log_sources","magnitude","closing_user","source_address_ids","local_destination_address_ids","target"
223326,"89.248.165.59",GyF: Posibles conexiones a servidores DNS no autorizados,223326,Traffic timeout,2022-06-01 00:09:36.000 +0530,2022-06-01 00:09:36.000 +0530,[List],0,1,true,0,false,,3,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],2,jcifuentes,[List],[List],"192.168.2.51"
223327,"190.99.230.16",GyF: User login VPN success in a non-working hours (Before),223327,Tunnel Up,2022-06-01 00:13:23.000 +0530,2022-06-01 00:13:18.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,1,1,[List],2,1,[List],1,cafonseca,[List],[List],"172.16.64.100"
223328,"174.138.40.30",GyF: Posibles conexiones a servidores DNS no autorizados,223328,Firewall Permit,2022-06-01 00:20:51.000 +0530,2022-06-01 00:20:51.000 +0530,[List],0,1,true,0,false,,0,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223339,"185.220.205.13",GyF: Posibles conexiones a servidores DNS no autorizados,223339,Traffic timeout,2022-06-01 01:45:15.000 +0530,2022-06-01 01:45:15.000 +0530,[List],0,1,true,0,false,,3,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],2,jcifuentes,[List],[List],"10.122.5.120"
223342,"181.50.102.128",GyF: User login VPN success in a non-working hours (Before),223342,Tunnel Up,2022-06-01 02:07:16.000 +0530,2022-06-01 02:07:12.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,1,1,[List],2,1,[List],1,cafonseca,[List],[List],"10.122.5.103"
223345,"216.150.142.10",GyF: User login VPN success in a non-working hours (Before),223345,Tunnel Up,2022-06-01 04:32:59.000 +0530,2022-06-01 02:27:58.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],3,0,[List],1,cafonseca,[List],[List],"172.16.64.100"
223350,"172.16.160.201",GyF: Posibles conexiones a servidores DNS no autorizados,223350,Firewall Permit,2022-06-02 20:35:35.000 +0530,2022-06-01 03:50:54.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,2,false,0,other,CLOSED,1,[List],0,0,1,1,[List],6,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223354,"185.173.35.25",GyF: Posibles conexiones a servidores DNS no autorizados,223354,Firewall Permit,2022-06-01 04:38:38.000 +0530,2022-06-01 04:38:38.000 +0530,[List],0,1,true,0,false,,0,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223357,"107.150.99.254",GyF: Posibles conexiones a servidores DNS no autorizados,223357,Traffic timeout,2022-06-01 04:57:14.000 +0530,2022-06-01 04:57:14.000 +0530,[List],0,1,true,0,false,,3,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],2,jcifuentes,[List],[List],"10.122.5.103"
223358,"190.26.140.226",GyF: User login VPN success in a non-working hours (Before),223358,Tunnel Up,2022-06-01 05:02:14.000 +0530,2022-06-01 05:02:13.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,1,1,[List],2,1,[List],1,cafonseca,[List],[List],"10.122.5.103"
223361,"190.66.122.235",GyF: User login VPN success in a non-working hours (Before),223361,Tunnel Up,2022-06-01 05:20:30.000 +0530,2022-06-01 05:20:28.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,1,1,[List],2,1,[List],1,cafonseca,[List],[List],"10.122.5.224"
223365,"94.102.61.31",GyF: Posibles conexiones a servidores DNS no autorizados,223365,Firewall Permit,2022-06-07 04:51:12.000 +0530,2022-06-01 05:38:41.000 +0530,[List],0,1,true,0,false,,0,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],2,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223366,"139.162.181.254",GyF: Posibles conexiones a servidores DNS no autorizados,223366,Firewall Permit,2022-06-01 06:01:08.000 +0530,2022-06-01 06:01:08.000 +0530,[List],0,1,true,0,false,,0,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],1,jcifuentes,[List],[List],"10.122.5.103"
223379,"71.6.233.222",GyF: Posibles conexiones a servidores DNS no autorizados,223379,Traffic timeout,2022-06-01 07:35:16.000 +0530,2022-06-01 07:35:16.000 +0530,[List],0,1,true,0,false,,3,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],2,jcifuentes,[List],[List],"10.122.5.103"
223382,"172.16.208.30",GyF: Posibles conexiones a servidores DNS no autorizados,223382,"Ip-conn
 preceded by Firewall Permit",2022-06-08 18:23:07.000 +0530,2022-06-01 07:52:16.000 +0530,[List],0,2,true,0,false,,2,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,2,4,[List],270,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223383,"172.16.144.66",GyF: Posibles conexiones a servidores DNS no autorizados,223383,Firewall Permit,2022-06-01 08:05:36.000 +0530,2022-06-01 08:05:36.000 +0530,[List],0,1,true,0,false,,1,3,54,1,24,0,false,0,other,CLOSED,1,[List],0,0,1,1,[List],1,0,[List],1,jcifuentes,[List],[List],"10.122.5.120"
223384,"172.16.208.33",GyF: Posibles conexiones a servidores DNS no autorizados,223384,"Ip-conn
 preceded by Firewall Permit",2022-06-01 18:04:23.000 +0530,2022-06-01 08:06:17.000 +0530,[List],0,2,true,0,false,,2,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,2,5,[List],696,0,[List],1,jcifuentes,[List],[List],"192.168.2.51"
223387,"172.16.192.21",GyF: Posibles conexiones a servidores DNS no autorizados,223387,"Ip-conn
 preceded by Firewall Permit",2022-06-02 16:56:04.000 +0530,2022-06-01 08:08:39.000 +0530,[List],0,2,true,0,false,,2,3,54,1,24,1,false,0,other,CLOSED,1,[List],0,0,2,3,[List],84,0,[List],1,jcifuentes,[List],[List],"10.122.5.103"
223388,"172.16.192.13",GyF: Posibles conexiones a servidores DNS no autorizados,223388,"Ip-conn
 preceded by Firewall Permit",2022-06-15 17:10:22.000 +0530,2022-06-01 08:11:18.000 +0530,[List],0,2,true,0,false,,2,3,54,1,24,4,false,0,other,CLOSED,1,[List],0,0,2,6,[List],483,0,[List],1,jcifuentes,[List],[List],"10.122.5.103"
223394,"192.168.134.2",Multiple Login Failures From the Same Source with any Username,223394,"GyF Multiples Intentos de Autenticacion
 preceded by Multiple Login Failures from the Same Source with any Username
 containing Failure Audit: An account failed to log on",2022-06-01 23:46:46.000 +0530,2022-06-01 08:34:43.000 +0530,[List],0,2,true,0,false,,5,3,54,2,24,1,false,0,other,CLOSED,1,[List],0,0,2,0,[List],455,1,[List],2,cafonseca,[List],[List],"10.122.5.224"
